x,y
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
107.59918,-85.881134
18.782104,-139.3183
347.62805,-38.010345
368.63855,-200.54834
502.65997,6.997711
503.93335,4.4530945
1030.4689,2.5446167
1816.7705,-144.56659
571.1032,91.28845
733.7753,18.28949
836.59937,62.820465
833.416,66.16028
763.69934,31.966858
751.28406,181.6227
643.3666,109.418945
819.72736,165.40071
960.75226,241.10333
949.292,247.14682
905.36096,264.4821
1123.4243,31.171661
905.36096,264.4821
1006.275,13.677368
336.1678,353.8621
257.2193,437.51666
577.47003,440.0613
391.24072,298.6755
441.53857,312.5119
482.92285,317.91925
556.7779,322.84946
773.56793,340.82086
875.1186,475.36798
850.92474,314.26135
898.3575,458.8279
992.58636,502.88174
972.84924,403.80038
1040.3374,427.02008
1106.8706,415.88736
983.03613,510.51562
1256.4908,449.60364
1353.5847,418.43198
1291.19,416.68256
1368.5468,479.66205
1323.979,506.2216
1337.986,476.16318
447.9054,580.49286
577.47003,703.4301
385.5106,569.20105
751.28406,655.0822
748.10065,659.69434
847.74133,719.81116
683.79584,714.72186
940.0601,619.13934
1234.5253,593.375
